Port,Protocol,Count
6352,igp,4
9041,egp,1
4564,icmp,5
7559,tcp,5
5489,igp,2
3779,egp,2
6643,udp,3
5605,udp,7
1920,udp,5
3775,icmp,3
3324,igp,3
426,icmp,2
1447,egp,5
1453,egp,5
1752,tcp,5
2066,igp,2
9623,icmp,7
3234,udp,3
324,udp,3
7401,igp,1
3299,egp,3
6333,tcp,2
5652,udp,2
5497,igp,4
8162,egp,2
9294,icmp,2
1656,egp,4
246,udp,1
7818,igp,4
755,udp,5
4843,igp,7
6617,tcp,3
9876,icmp,3
4650,icmp,6
4168,tcp,3
5983,udp,3
7636,icmp,3
8260,tcp,2
1622,udp,3
8878,egp,2
7202,udp,1
2871,egp,1
1261,egp,4
7924,egp,3
7487,udp,6
8374,icmp,2
1474,udp,3
7647,igp,1
6329,icmp,1
7064,udp,4
1651,egp,3
3496,icmp,1
6578,egp,4
173,egp,7
6087,icmp,4
6323,icmp,3
789,udp,4
8901,tcp,3
7665,icmp,4
499,icmp,3
7305,igp,1
4498,udp,4
1194,icmp,4
9105,igp,4
4994,egp,2
8095,tcp,2
8362,egp,3
9003,icmp,3
3412,udp,3
5938,tcp,4
4997,icmp,5
6121,udp,4
1269,igp,4
5479,tcp,2
1838,tcp,1
4280,egp,2
5717,tcp,2
6235,tcp,3
2866,icmp,2
1630,tcp,3
4389,igp,2
7406,egp,4
8657,igp,6
836,tcp,1
2281,icmp,3
4317,igp,3
4247,icmp,5
4259,icmp,3
9127,udp,3
1469,egp,2
8602,igp,3
9921,udp,2
7271,udp,4
266,egp,3
2082,udp,6
1898,icmp,3
706,egp,3
7210,igp,7
2027,tcp,5
1381,igp,2
2923,igp,3
1646,egp,5
8446,tcp,2
3454,udp,3
3539,tcp,4
6919,igp,4
3511,udp,3
9432,igp,4
1060,udp,4
5163,icmp,1
918,tcp,1
3676,icmp,4
8406,egp,5
5019,icmp,2
9266,icmp,3
1572,icmp,3
3959,icmp,3
8642,tcp,4
7030,igp,2
3042,egp,1
2341,tcp,1
6612,igp,3
3260,udp,4
9801,tcp,3
7498,egp,3
6738,icmp,2
2120,igp,3
2813,egp,5
7844,egp,2
744,icmp,3
5309,icmp,2
4115,udp,2
552,udp,3
9876,igp,3
9014,icmp,4
9143,icmp,1
5121,tcp,5
4454,egp,2
1579,tcp,1
6294,egp,3
6038,tcp,1
9345,tcp,2
2723,egp,1
1467,udp,4
1155,icmp,2
7055,tcp,4
4023,igp,4
5468,egp,2
5251,udp,3
5242,tcp,3
3304,egp,3
2049,igp,4
9817,igp,2
8566,icmp,5
9560,egp,2
8325,igp,4
